[2023-12-15 19:43:31] - [SETUP] What operating system are you running? Please, insert L for Linux and W for Windows.
[2023-12-15 19:44:08] - [SETUP] What operating system are you running? Please, insert L for Linux and W for Windows.
[2023-12-15 19:44:10] - [SETUP] Insert L for Linux, and W for Windows.
[2023-12-15 19:44:10] - [SETUP] What operating system are you running? Please, insert L for Linux and W for Windows.
[2023-12-15 19:44:11] - [SETUP] Insert L for Linux, and W for Windows.
[2023-12-15 19:44:11] - [SETUP] What operating system are you running? Please, insert L for Linux and W for Windows.
[2023-12-15 19:44:12] - [SETUP] Insert L for Linux, and W for Windows.
[2023-12-15 19:44:12] - [SETUP] What operating system are you running? Please, insert L for Linux and W for Windows.
[2023-12-15 19:44:33] - [SETUP] What operating system are you running? Please, insert L for Linux and W for Windows.
[2023-12-15 19:44:35] - [SETUP] Insert L for Linux, and W for Windows.
[2023-12-15 19:44:36] - [SETUP] Insert L for Linux, and W for Windows.
[2023-12-15 19:44:37] - [SETUP] Insert L for Linux, and W for Windows.
[2023-12-15 19:44:38] - [SETUP] Insert your Telegram API. Make sure it is correct before you proceed.
